country_name;country_code;year;total
Croatia;HRV;2012;3890
Croatia;HRV;2013;3326
Croatia;HRV;2014;2881
Croatia;HRV;2015;2426
Croatia;HRV;2016;2293
Croatia;HRV;2017;2234
Croatia;HRV;2018;2177
Greece;GRC;2003;8170
Greece;GRC;2004;9018
Greece;GRC;2005;9270
Greece;GRC;2006;9685
Greece;GRC;2007;10348
Greece;GRC;2008;10561
Greece;GRC;2009;9265
Greece;GRC;2010;10480
Greece;GRC;2011;10752
Greece;GRC;2012;11187
Greece;GRC;2013;11571
Greece;GRC;2014;11798
Greece;GRC;2015;9611
Greece;GRC;2016;9560
Greece;GRC;2017;10011
Greece;GRC;2018;10654
Italy;ITA;2003;54237
Italy;ITA;2004;56068
Italy;ITA;2005;59523
Italy;ITA;2006;39005
Italy;ITA;2007;48693
Italy;ITA;2008;58127
Italy;ITA;2009;64791
Italy;ITA;2010;67961
Italy;ITA;2011;66897
Italy;ITA;2012;65701
Italy;ITA;2013;62536
Italy;ITA;2014;53623
Italy;ITA;2015;52164
Italy;ITA;2016;54653
Italy;ITA;2017;57608
Italy;ITA;2018;59655
Kosovo under UNSCR 1244;OSA;2003;1182
Kosovo under UNSCR 1244;OSA;2004;1189
Kosovo under UNSCR 1244;OSA;2005;1199
Kosovo under UNSCR 1244;OSA;2006;1252
Kosovo under UNSCR 1244;OSA;2007;
Kosovo under UNSCR 1244;OSA;2008;
Kosovo under UNSCR 1244;OSA;2009;1325
Kosovo under UNSCR 1244;OSA;2010;1333
Kosovo under UNSCR 1244;OSA;2011;1441
Kosovo under UNSCR 1244;OSA;2012;1737
Kosovo under UNSCR 1244;OSA;2013;1776
Kosovo under UNSCR 1244;OSA;2014;1854
Kosovo under UNSCR 1244;OSA;2015;1478
Kosovo under UNSCR 1244;OSA;2016;1648
Kosovo under UNSCR 1244;OSA;2017;1609
Kosovo under UNSCR 1244;OSA;2018;1567
Montenegro;MNE;2003;741
Montenegro;MNE;2004;799
Montenegro;MNE;2005;894
Montenegro;MNE;2006;851
Montenegro;MNE;2007;957
Montenegro;MNE;2008;1216
Montenegro;MNE;2009;1499
Montenegro;MNE;2010;1457
Montenegro;MNE;2011;1328
Montenegro;MNE;2012;1331
Montenegro;MNE;2013;1064
Montenegro;MNE;2014;1123
Montenegro;MNE;2015;1131
Montenegro;MNE;2016;1123
Montenegro;MNE;2017;1119
Montenegro;MNE;2018;1125
North Macedonia;MKD;2003;NaN
North Macedonia;MKD;2004;NaN
North Macedonia;MKD;2005;NaN
North Macedonia;MKD;2006;2167
North Macedonia;MKD;2007;NaN
North Macedonia;MKD;2008;NaN
North Macedonia;MKD;2009;NaN
North Macedonia;MKD;2010;NaN
North Macedonia;MKD;2011;NaN
North Macedonia;MKD;2012;NaN
North Macedonia;MKD;2013;NaN
North Macedonia;MKD;2014;NaN
North Macedonia;MKD;2015;NaN
North Macedonia;MKD;2016;NaN
North Macedonia;MKD;2017;NaN
North Macedonia;MKD;2018;NaN
Portugal;PRT;2003;13635
Portugal;PRT;2004;13152
Portugal;PRT;2005;12889
Portugal;PRT;2006;12636
Portugal;PRT;2007;11587
Portugal;PRT;2008;10807
Portugal;PRT;2009;11099
Portugal;PRT;2010;11613
Portugal;PRT;2011;12681
Portugal;PRT;2012;13614
Portugal;PRT;2013;14284
Portugal;PRT;2014;14003
Portugal;PRT;2015;14222
Portugal;PRT;2016;13779
Portugal;PRT;2017;13440
Portugal;PRT;2018;12867
Serbia;SRB;2003;NaN
Serbia;SRB;2004;NaN
Serbia;SRB;2005;8071
Serbia;SRB;2006;7893
Serbia;SRB;2007;8970
Serbia;SRB;2008;9701
Serbia;SRB;2009;10975
Serbia;SRB;2010;11211
Serbia;SRB;2011;11070
Serbia;SRB;2012;10226
Serbia;SRB;2013;10031
Serbia;SRB;2014;10288
Serbia;SRB;2015;10064
Serbia;SRB;2016;10672
Serbia;SRB;2017;10807
Serbia;SRB;2018;10871
Spain;ESP;2003;56096
Spain;ESP;2004;59375
Spain;ESP;2005;61054
Spain;ESP;2006;64021
Spain;ESP;2007;67100
Spain;ESP;2008;73558
Spain;ESP;2009;76079
Spain;ESP;2010;73929
Spain;ESP;2011;70472
Spain;ESP;2012;68597
Spain;ESP;2013;66765
Spain;ESP;2014;65017
Spain;ESP;2015;61614
Spain;ESP;2016;59589
Spain;ESP;2017;58814
Spain;ESP;2018;58883
Austria;AUT;2003;7921
Austria;AUT;2004;8642
Austria;AUT;2005;8826
Austria;AUT;2006;8751
Austria;AUT;2007;8861
Austria;AUT;2008;7886
Austria;AUT;2009;8467
Austria;AUT;2010;8569
Austria;AUT;2011;8793
Austria;AUT;2012;8738
Austria;AUT;2013;8878
Austria;AUT;2014;8809
Austria;AUT;2015;9036
Austria;AUT;2016;8619
Austria;AUT;2017;8852
Austria;AUT;2018;9099
Belgium;BEL;2003;9646
Belgium;BEL;2004;9896
Belgium;BEL;2005;9974
Belgium;BEL;2006;10437
Belgium;BEL;2007;NaN
Belgium;BEL;2008;NaN
Belgium;BEL;2009;NaN
Belgium;BEL;2010;10535
Belgium;BEL;2011;10973
Belgium;BEL;2012;11330
Belgium;BEL;2013;11644
Belgium;BEL;2014;11578
Belgium;BEL;2015;11040
Belgium;BEL;2016;10619
Belgium;BEL;2017;10471
Belgium;BEL;2018;NaN
France;FRA;2003;59246
France;FRA;2004;59197
France;FRA;2005;59522
France;FRA;2006;60403
France;FRA;2007;64003
France;FRA;2008;66178
France;FRA;2009;66089
France;FRA;2010;66975
France;FRA;2011;73780
France;FRA;2012;76798
France;FRA;2013;77883
France;FRA;2014;77291
France;FRA;2015;66678
France;FRA;2016;68432
France;FRA;2017;68974
France;FRA;2018;70059
Germany;DEU;2003;79153
Germany;DEU;2004;79452
Germany;DEU;2005;78664
Germany;DEU;2006;76629
Germany;DEU;2007;72656
Germany;DEU;2008;72259
Germany;DEU;2009;70817
Germany;DEU;2010;69385
Germany;DEU;2011;68099
Germany;DEU;2012;65902
Germany;DEU;2013;62632
Germany;DEU;2014;61872
Germany;DEU;2015;61737
Germany;DEU;2016;62865
Germany;DEU;2017;64351
Germany;DEU;2018;63643
Luxembourg;LUX;2003;NaN
Luxembourg;LUX;2004;NaN
Luxembourg;LUX;2005;NaN
Luxembourg;LUX;2006;NaN
Luxembourg;LUX;2007;NaN
Luxembourg;LUX;2008;NaN
Luxembourg;LUX;2009;NaN
Luxembourg;LUX;2010;NaN
Luxembourg;LUX;2011;NaN
Luxembourg;LUX;2012;NaN
Luxembourg;LUX;2013;NaN
Luxembourg;LUX;2014;NaN
Luxembourg;LUX;2015;NaN
Luxembourg;LUX;2016;NaN
Luxembourg;LUX;2017;684
Luxembourg;LUX;2018;656
Netherlands;NLD;2003;13981
Netherlands;NLD;2004;16454
Netherlands;NLD;2005;17599
Netherlands;NLD;2006;16230
Netherlands;NLD;2007;14451
Netherlands;NLD;2008;13530
Netherlands;NLD;2009;13262
Netherlands;NLD;2010;13293
Netherlands;NLD;2011;12737
Netherlands;NLD;2012;12112
Netherlands;NLD;2013;11167
Netherlands;NLD;2014;10361
Netherlands;NLD;2015;9143
Netherlands;NLD;2016;9123
Netherlands;NLD;2017;9549
Netherlands;NLD;2018;9972
Switzerland;CHE;2003;4816
Switzerland;CHE;2004;5469
Switzerland;CHE;2005;5673
Switzerland;CHE;2006;5526
Switzerland;CHE;2007;5251
Switzerland;CHE;2008;5199
Switzerland;CHE;2009;5491
Switzerland;CHE;2010;5665
Switzerland;CHE;2011;5511
Switzerland;CHE;2012;6001
Switzerland;CHE;2013;6537
Switzerland;CHE;2014;6414
Switzerland;CHE;2015;6398
Switzerland;CHE;2016;6447
Switzerland;CHE;2017;6449
Switzerland;CHE;2018;6507
