"country_name","country_code","year","actual","official"
"Kosovo under UNSCR 1244","OSA",2013,"",""
"Kosovo under UNSCR 1244","OSA",2014,"",""
"Kosovo under UNSCR 1244","OSA",2015,"",""
"Kosovo under UNSCR 1244","OSA",2016,"",""
"Kosovo under UNSCR 1244","OSA",2017,"",""
"Kosovo under UNSCR 1244","OSA",2018,"",""
"Montenegro","MNE",2003,"",""
"Montenegro","MNE",2004,"",""
"Montenegro","MNE",2005,"",""
"Montenegro","MNE",2006,"",""
"Montenegro","MNE",2007,"",""
"Montenegro","MNE",2008,1216,1280
"Montenegro","MNE",2009,1499,1022
"Montenegro","MNE",2010,1457,1066
"Montenegro","MNE",2011,1328,1116
"Montenegro","MNE",2012,1331,1116
"Montenegro","MNE",2013,1064,1116
"Montenegro","MNE",2014,1123,""
"Montenegro","MNE",2015,1131,""
"Montenegro","MNE",2016,1123,1375
"Montenegro","MNE",2017,1119,1345
"Montenegro","MNE",2018,1125,1345
"North Macedonia","MKD",2003,"",""
"North Macedonia","MKD",2004,"",""
"North Macedonia","MKD",2005,"",""
"North Macedonia","MKD",2006,"",""
"North Macedonia","MKD",2007,"",""
"North Macedonia","MKD",2008,"",1681
"North Macedonia","MKD",2009,"",1941
"North Macedonia","MKD",2010,"",2041
"North Macedonia","MKD",2011,"",1941
"North Macedonia","MKD",2012,"",""
"North Macedonia","MKD",2013,"",""
"North Macedonia","MKD",2014,"",""
"North Macedonia","MKD",2015,"",""
"North Macedonia","MKD",2016,3231,""
"North Macedonia","MKD",2017,3031,2519
"North Macedonia","MKD",2018,"",""
"Portugal","PRT",2003,"",""
"Portugal","PRT",2004,"",""
"Portugal","PRT",2005,"",""
"Portugal","PRT",2006,"",""
"Portugal","PRT",2007,"",""
"Portugal","PRT",2008,10807,12464
"Portugal","PRT",2009,11287,12102
"Portugal","PRT",2010,11839,12174
"Portugal","PRT",2011,12955,12330
"Portugal","PRT",2012,13875,12342
"Portugal","PRT",2013,14535,12400
"Portugal","PRT",2014,14198,12591
"Portugal","PRT",2015,14373,12591
"Portugal","PRT",2016,13917,12600
"Portugal","PRT",2017,13587,12694
"Portugal","PRT",2018,13021,12934
"Serbia","SRB",2003,"",""
"Serbia","SRB",2004,"",""
"Serbia","SRB",2005,"",""
"Serbia","SRB",2006,"",""
"Serbia","SRB",2007,"",""
"Serbia","SRB",2008,9701,""
"Serbia","SRB",2009,10975,""
"Serbia","SRB",2010,11211,""
"Serbia","SRB",2011,11070,6924
"Serbia","SRB",2012,10226,9000
"Serbia","SRB",2013,10031,9200
"Serbia","SRB",2014,10288,9340
"Serbia","SRB",2015,10064,9459
"Serbia","SRB",2016,10672,9802
"Serbia","SRB",2017,10807,9892
"Serbia","SRB",2018,10871,10307
"Spain","ESP",2003,"",""
"Spain","ESP",2004,"",""
"Spain","ESP",2005,"",""
"Spain","ESP",2006,"",""
"Spain","ESP",2007,"",""
"Spain","ESP",2008,73558,""
"Spain","ESP",2009,76079,""
"Spain","ESP",2010,73929,""
"Spain","ESP",2011,70472,""
"Spain","ESP",2012,68597,""
"Spain","ESP",2013,66765,""
"Spain","ESP",2014,65017,""
"Spain","ESP",2015,61614,""
"Spain","ESP",2016,59589,64144
"Spain","ESP",2017,58814,64109
"Spain","ESP",2018,58883,64323
"Austria","AUT",2003,"",""
"Austria","AUT",2004,"",""
"Austria","AUT",2005,"",""
"Austria","AUT",2006,"",""
"Austria","AUT",2007,"",""
"Austria","AUT",2008,8248,8682
"Austria","AUT",2009,8708,8678
"Austria","AUT",2010,8540,8565
"Austria","AUT",2011,8770,8773
"Austria","AUT",2012,8805,8651
"Austria","AUT",2013,8862,8636
"Austria","AUT",2014,8692,8666
"Austria","AUT",2015,8665,4191
"Austria","AUT",2016,8619,4182
"Austria","AUT",2017,8852,8884
"Austria","AUT",2018,9163,""
"Belgium","BEL",2003,"",""
"Belgium","BEL",2004,"",""
"Belgium","BEL",2005,"",""
"Belgium","BEL",2006,"",""
"Belgium","BEL",2007,"",""
"Belgium","BEL",2008,9811,8445
"Belgium","BEL",2009,10126,8546
"Belgium","BEL",2010,10526,9129
"Belgium","BEL",2011,11040,9212
"Belgium","BEL",2012,11183,9401
"Belgium","BEL",2013,11818,9715
"Belgium","BEL",2014,"",""
"Belgium","BEL",2015,10994,9952
"Belgium","BEL",2016,"",""
"Belgium","BEL",2017,"",""
"Belgium","BEL",2018,"",""
"France","FRA",2003,"",""
"France","FRA",2004,"",""
"France","FRA",2005,"",""
"France","FRA",2006,"",""
"France","FRA",2007,"",""
"France","FRA",2008,62252,51997
"France","FRA",2009,60978,54988
"France","FRA",2010,60544,56358
"France","FRA",2011,64787,57236
"France","FRA",2012,66572,56992
"France","FRA",2013,67075,57516
"France","FRA",2014,66270,57841
"France","FRA",2015,66678,58561
"France","FRA",2016,68432,58681
"France","FRA",2017,68974,59765
"France","FRA",2018,70059,""
"Germany","DEU",2003,"",""
"Germany","DEU",2004,"",""
"Germany","DEU",2005,"",""
"Germany","DEU",2006,"",""
"Germany","DEU",2007,"",""
"Germany","DEU",2008,73793,""
"Germany","DEU",2009,72295,""
"Germany","DEU",2010,70827,""
"Germany","DEU",2011,69543,""
"Germany","DEU",2012,68533,""
"Germany","DEU",2013,66221,""
"Germany","DEU",2014,63228,75793
"Germany","DEU",2015,63020,73916
"Germany","DEU",2016,64291,73627
"Germany","DEU",2017,65841,73603
"Germany","DEU",2018,65762,74386
"Luxembourg","LUX",2003,"",""
"Luxembourg","LUX",2004,"",""
"Luxembourg","LUX",2005,"",""
"Luxembourg","LUX",2006,"",""
"Luxembourg","LUX",2007,"",""
"Luxembourg","LUX",2008,762,""
"Luxembourg","LUX",2009,702,""
"Luxembourg","LUX",2010,681,""
"Luxembourg","LUX",2011,637,""
"Luxembourg","LUX",2012,666,""
"Luxembourg","LUX",2013,656,""
"Luxembourg","LUX",2014,626,711
"Luxembourg","LUX",2015,691,711
"Luxembourg","LUX",2016,724,711
"Luxembourg","LUX",2017,684,711
"Luxembourg","LUX",2018,656,711
"Netherlands","NLD",2003,"",""
"Netherlands","NLD",2004,"",""
"Netherlands","NLD",2005,"",""
"Netherlands","NLD",2006,"",""
"Netherlands","NLD",2007,"",""
"Netherlands","NLD",2008,14610,""
"Netherlands","NLD",2009,14364,17668
"Netherlands","NLD",2010,14368,16033
"Netherlands","NLD",2011,13969,15509
"Netherlands","NLD",2012,13473,15731
"Netherlands","NLD",2013,12721,15283
"Netherlands","NLD",2014,11934,14665
"Netherlands","NLD",2015,10850,14299
"Netherlands","NLD",2016,10601,""
"Netherlands","NLD",2017,10874,""
"Netherlands","NLD",2018,11251,""
"Switzerland","CHE",2003,"",""
"Switzerland","CHE",2004,"",""
"Switzerland","CHE",2005,"",""
"Switzerland","CHE",2006,"",""
"Switzerland","CHE",2007,"",""
"Switzerland","CHE",2008,5303,""
"Switzerland","CHE",2009,5605,""
"Switzerland","CHE",2010,5765,""
"Switzerland","CHE",2011,5626,""
"Switzerland","CHE",2012,6102,""
"Switzerland","CHE",2013,6652,""
"Switzerland","CHE",2014,6519,7235
"Switzerland","CHE",2015,6498,7324
"Switzerland","CHE",2016,6507,7483
"Switzerland","CHE",2017,6564,7489
"Switzerland","CHE",2018,6602,7518
