"Country","GHO Measures","2016","2015","2014"
"Monaco"," Capacity","80","80","80"
"Monaco"," Total number of prisoners","Missing","Missing","Missing"
"Monaco"," Number of unsentenced/remand prisoners","Missing","Missing","Missing"
"Monaco"," Number of female prisoners","Missing","Missing","Missing"
"Monaco"," Number of underage prisoners","Missing","Missing","Missing"
"Monaco"," Number of prisoners over 55 years","Missing","Missing","Missing"
"Monaco"," Number of ethnic/racial minority prisoners","No national data","Missing","Missing"
"Montenegro"," Capacity","1350","1350","1350"
"Montenegro"," Total number of prisoners","1350","1131","1123"
"Montenegro"," Number of unsentenced/remand prisoners","Missing","298","Missing"
"Montenegro"," Number of female prisoners","No national data","23","Missing"
"Montenegro"," Number of underage prisoners","4","4","Missing"
"Montenegro"," Number of prisoners over 55 years","No national data","No national data","No national data"
"Montenegro"," Number of ethnic/racial minority prisoners","No national data","No national data","No national data"
"Netherlands"," Capacity","11982","12071","12454"
"Netherlands"," Total number of prisoners","8976","9909","10544"
"Netherlands"," Number of unsentenced/remand prisoners","No national data","No national data","No national data"
"Netherlands"," Number of female prisoners","489","560","561"
"Netherlands"," Number of underage prisoners","411","461","473"
"Netherlands"," Number of prisoners over 55 years","Missing","No national data","No national data"
"Netherlands"," Number of ethnic/racial minority prisoners","3838","No national data","4611"
"Norway"," Capacity","3823","3916","3803"
"Norway"," Total number of prisoners","No national data","Missing","Missing"
"Norway"," Number of unsentenced/remand prisoners","No national data","Missing","Missing"
"Norway"," Number of female prisoners","No national data","Missing","Missing"
"Norway"," Number of underage prisoners","Missing","Missing","Missing"
"Norway"," Number of prisoners over 55 years","No national data","Missing","Missing"
"Norway"," Number of ethnic/racial minority prisoners","No national data","No national data","No national data"
"Poland"," Capacity","87395","87742","87311"
"Poland"," Total number of prisoners","70836","77371","78994"
"Poland"," Number of unsentenced/remand prisoners","4162","6238","6589"
"Poland"," Number of female prisoners","2379","2527","2636"
"Poland"," Number of underage prisoners","No national data","No national data","No national data"
"Poland"," Number of prisoners over 55 years","No national data","No national data","No national data"
"Poland"," Number of ethnic/racial minority prisoners","No national data","No national data","No national data"
"Portugal"," Capacity","12600","12591","12591"
"Portugal"," Total number of prisoners","14305","14222","14003"
"Portugal"," Number of unsentenced/remand prisoners","2227","2303","2330"
"Portugal"," Number of female prisoners","848","862","844"
"Portugal"," Number of underage prisoners","48","32","55"
"Portugal"," Number of prisoners over 55 years","2586","2531","2293"
"Portugal"," Number of ethnic/racial minority prisoners","No national data","No national data","No national data"
"Republic of Moldova"," Capacity","No national data","No national data","No national data"
"Republic of Moldova"," Total number of prisoners","7762","8054","7314"
"Republic of Moldova"," Number of unsentenced/remand prisoners","No national data","No national data","No national data"
"Republic of Moldova"," Number of female prisoners","No national data","No national data","No national data"
"Republic of Moldova"," Number of underage prisoners","No national data","No national data","No national data"
"Republic of Moldova"," Number of prisoners over 55 years","No national data","No national data","No national data"
"Republic of Moldova"," Number of ethnic/racial minority prisoners","No national data","No national data","No national data"
"Romania"," Capacity","28049","28049","28049"
"Romania"," Total number of prisoners","Missing","28334","30156"
"Romania"," Number of unsentenced/remand prisoners","Missing","2453","2514"
"Romania"," Number of female prisoners","Missing","678","607"
"Romania"," Number of underage prisoners","Missing","316","316"
"Romania"," Number of prisoners over 55 years","Missing","8154","8249"
"Romania"," Number of ethnic/racial minority prisoners","Missing","269","253"
"Russian Federation"," Capacity","791784","809088","824503"
"Russian Federation"," Total number of prisoners","630155","646085","671649"
"Russian Federation"," Number of unsentenced/remand prisoners","155759","174398","171538"
"Russian Federation"," Number of female prisoners","49239","52683","54642"
"Russian Federation"," Number of underage prisoners","2569","2857","3004"
"Russian Federation"," Number of prisoners over 55 years","22811","22261","21802"
"Russian Federation"," Number of ethnic/racial minority prisoners","No national data","No national data","No national data"
"Serbia"," Capacity","9340","9459","9340"
"Serbia"," Total number of prisoners","10672","10064","10288"
"Serbia"," Number of unsentenced/remand prisoners","No national data","No national data","No national data"
"Serbia"," Number of female prisoners","392","342","344"
"Serbia"," Number of underage prisoners","105","95","84"
"Serbia"," Number of prisoners over 55 years","1505","1396","1320"
"Serbia"," Number of ethnic/racial minority prisoners","No national data","No national data","No national data"
"Slovakia"," Capacity","11184","11318","11302"
"Slovakia"," Total number of prisoners","9912","10018","9752"
"Slovakia"," Number of unsentenced/remand prisoners","1336","1321","1220"
"Slovakia"," Number of female prisoners","627","616","589"
"Slovakia"," Number of underage prisoners","88","92","97"
"Slovakia"," Number of prisoners over 55 years","No national data","No national data","No national data"
"Slovakia"," Number of ethnic/racial minority prisoners","No national data","No national data","No national data"
"Slovenia"," Capacity","1322","1322","1293"
"Slovenia"," Total number of prisoners","1393","1489","1407"
"Slovenia"," Number of unsentenced/remand prisoners","202","253","245"
"Slovenia"," Number of female prisoners","78","74","74"
"Slovenia"," Number of underage prisoners","22","18","24"
"Slovenia"," Number of prisoners over 55 years","234","259","220"
"Slovenia"," Number of ethnic/racial minority prisoners","No national data","No national data","No national data"
"Spain"," Capacity","66057","66057","66057"
"Spain"," Total number of prisoners","61423","65039","66614"
"Spain"," Number of unsentenced/remand prisoners","7732","8544","9149"
"Spain"," Number of female prisoners","4695","4978","5049"
"Spain"," Number of underage prisoners","0","0","0"
"Spain"," Number of prisoners over 55 years","1962","1962","1797"
"Spain"," Number of ethnic/racial minority prisoners","No national data","No national data","No national data"
"Sweden"," Capacity","6228","6459","6563"
"Sweden"," Total number of prisoners","5162","5292","5323"
"Sweden"," Number of unsentenced/remand prisoners","1546","1544","1569"
"Sweden"," Number of female prisoners","331","301","332"
"Sweden"," Number of underage prisoners","295","246","225"
"Sweden"," Number of prisoners over 55 years","No national data","No national data","No national data"
"Sweden"," Number of ethnic/racial minority prisoners","No national data","No national data","No national data"
"Switzerland"," Capacity","7493","7343","7235"
"Switzerland"," Total number of prisoners","6912","6884","6923"
"Switzerland"," Number of unsentenced/remand prisoners","1745","1849","1892"
"Switzerland"," Number of female prisoners","384","375","328"
"Switzerland"," Number of underage prisoners","19","19","25"
"Switzerland"," Number of prisoners over 55 years","No national data","No national data","No national data"
"Switzerland"," Number of ethnic/racial minority prisoners","4974","4885","5055"
"Tajikistan"," Capacity","Missing","Missing","11950"
"Tajikistan"," Total number of prisoners","Missing","Missing","9317"
"Tajikistan"," Number of unsentenced/remand prisoners","Missing","Missing","Missing"
"Tajikistan"," Number of female prisoners","Missing","Missing","149"
"Tajikistan"," Number of underage prisoners","No national data","No national data","No national data"
"Tajikistan"," Number of prisoners over 55 years","No national data","No national data","No national data"
"Tajikistan"," Number of ethnic/racial minority prisoners","No national data","No national data","No national data"
"Ukraine"," Capacity","113047","113047","140171"
"Ukraine"," Total number of prisoners","60435","70417","79750"
"Ukraine"," Number of unsentenced/remand prisoners","10078","9107","7919"
"Ukraine"," Number of female prisoners","1899","2432","2552"
"Ukraine"," Number of underage prisoners","304","332","455"
"Ukraine"," Number of prisoners over 55 years","No national data","No national data","No national data"
"Ukraine"," Number of ethnic/racial minority prisoners","No national data","No national data","No national data"
"United Kingdom of Great Britain and Northern Ireland"," Capacity","97748","98105","95536"
"United Kingdom of Great Britain and Northern Ireland"," Total number of prisoners","93952","93776","93517"
"United Kingdom of Great Britain and Northern Ireland"," Number of unsentenced/remand prisoners","No national data","13408","14003"
"United Kingdom of Great Britain and Northern Ireland"," Number of female prisoners","4205","4367","4475"
"United Kingdom of Great Britain and Northern Ireland"," Number of underage prisoners","No national data","727","802"
"United Kingdom of Great Britain and Northern Ireland"," Number of prisoners over 55 years","Missing","Missing","Missing"
"United Kingdom of Great Britain and Northern Ireland"," Number of ethnic/racial minority prisoners","No national data","22432","22328"
